nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
2,2,13,1,16,1.0,60,134.0,72.86,118206.0
1,1,14,1,16,1.0,60,128.0,46.33,124265.0
2,1,14,1,16,1.0,60,126.0,52.85,125997.0
2,2,14,1,16,1.0,60,134.0,65.69,118135.0
1,1,15,1,16,1.0,60,123.0,43.21,129450.0
2,1,15,1,16,1.0,60,126.0,53.89,125414.0
2,2,15,1,16,1.0,60,142.0,72.32,111665.0
1,1,16,1,16,1.0,60,141.0,51.52,112808.0
2,1,16,1,16,1.0,60,132.0,55.13,120226.0
2,2,16,1,16,1.0,60,133.0,67.5,119429.0
1,1,17,1,16,1.0,60,136.0,50.53,116621.0
2,1,17,1,16,1.0,60,134.0,53.88,118752.0
2,2,17,1,16,1.0,60,139.0,70.8,114478.0
1,1,18,1,16,1.0,60,138.0,51.57,115081.0
2,1,18,1,16,1.0,60,129.0,51.87,122572.0
2,2,18,1,16,1.0,60,127.0,49.7,124924.0
1,1,19,1,16,1.0,60,126.0,46.18,126110.0
2,1,19,1,16,1.0,60,122.0,48.76,129556.0
2,2,19,1,16,1.0,60,119.0,44.61,133455.0
1,1,20,1,16,1.0,60,127.0,46.3,125100.0
2,1,20,1,16,1.0,60,132.0,56.37,120315.0
2,2,20,1,16,1.0,60,133.0,72.24,119030.0
1,1,21,1,16,1.0,60,128.0,45.79,123983.0
2,1,21,1,16,1.0,60,124.0,48.0,127933.0
2,2,21,1,16,1.0,60,130.0,51.24,122094.0
1,1,22,1,16,1.0,60,134.0,50.43,118171.0
2,1,22,1,16,1.0,60,123.0,52.66,128605.0
2,2,22,1,16,1.0,60,138.0,68.18,114613.0
1,1,23,1,16,1.0,60,135.0,53.27,117269.0
2,1,23,1,16,1.0,60,131.0,53.4,120946.0
2,2,23,1,16,1.0,60,128.0,64.22,124186.0
1,1,24,1,16,1.0,60,126.0,46.9,126083.0
2,1,24,1,16,1.0,60,127.0,54.63,124714.0
2,2,24,1,16,1.0,60,134.0,65.4,118379.0
1,1,25,1,16,1.0,60,127.0,50.47,125049.0
2,1,25,1,16,1.0,60,122.0,48.53,129635.0
